0,1,19,10,1,1,60,9,2,1,65,9,18,236
1,2,7,8,1,1,38,11,1,2,40,6,11,24
1,3,17,15,1,1,35,3,1,2,54,7,16,973
1,4,1,12,1,1,23,17,1,2,39,10,19,865
1,5,14,10,1,1,53,6,1,2,43,1,20,78
0,6,1,20,1,1,52,17,5,1,26,8,12,717
0,7,14,18,1,1,32,10,2,1,94,4,12,362
1,8,4,15,1,1,35,17,2,2,65,7,12,252
1,9,17,1,1,1,25,15,1,1,88,3,20,591
1,10,2,5,1,1,32,16,3,1,19,9,18,443
1,11,10,11,1,1,39,6,2,1,8,7,17,672
1,12,5,6,1,1,52,15,1,2,82,3,10,841
0,13,12,17,1,1,49,18,1,2,45,6,17,26
1,14,2,12,1,1,49,6,3,2,44,9,11,786
1,15,16,8,1,1,35,4,3,1,68,5,18,850
1,16,9,16,1,1,52,11,4,2,30,4,16,947
1,17,17,9,1,1,36,16,4,2,40,11,15,68
1,18,15,9,1,1,56,8,2,2,32,9,16,90
0,19,20,1,1,1,45,11,1,2,55,7,10,682
0,20,19,3,1,1,49,1,5,1,60,6,11,612
1,21,4,11,1,1,21,13,3,2,85,2,15,673
1,22,2,12,1,1,39,15,4,2,8,12,19,615
1,23,9,4,1,1,60,18,3,1,70,2,19,99
1,24,12,13,1,1,31,13,4,2,7,3,16,940
1,25,13,9,1,1,58,19,4,1,8,12,11,460
1,26,14,2,1,1,46,18,1,1,16,10,15,314
1,27,6,13,1,1,33,10,5,2,23,7,16,961
0,28,19,13,1,1,37,12,2,2,21,2,11,324
1,29,16,3,1,1,49,20,5,2,99,6,13,786
1,30,17,2,1,1,57,2,4,1,18,2,19,217
1,31,4,5,1,1,30,18,4,2,88,9,10,788
0,32,15,18,1,1,45,6,2,2,91,3,10,365
1,33,15,6,1,1,38,7,4,1,8,5,11,155
1,34,14,7,1,1,43,12,1,2,54,7,19,977
1,35,8,13,1,1,41,18,4,2,56,3,17,562
0,36,4,18,1,1,42,14,4,1,84,3,14,85
1,37,5,10,1,1,52,12,2,1,32,10,16,610
1,38,9,11,1,1,20,2,1,2,17,6,14,249
0,39,14,19,1,1,26,20,5,1,44,4,11,742
1,40,16,15,1,1,51,11,4,2,8,12,13,733
