0,1,19,10,0,0,54,19,3,1,66,12,12,472
0,2,7,8,0,0,59,2,2,1,97,4,14,972
1,3,17,15,0,0,52,14,2,1,98,8,14,330
1,4,1,12,0,0,57,16,4,2,96,1,10,253
1,5,14,10,0,0,33,19,1,1,36,5,18,729
0,6,1,20,0,0,25,12,1,1,89,6,14,58
0,7,14,18,0,0,20,18,1,1,15,2,20,183
0,8,4,15,0,0,33,3,1,1,11,7,13,247
1,9,17,1,0,0,34,20,1,2,34,1,10,403
1,10,2,5,0,0,31,9,5,2,66,2,13,780
1,11,10,11,0,0,31,6,5,1,17,8,13,20
1,12,5,6,0,0,40,20,5,1,61,4,12,149
0,13,12,17,0,0,52,13,5,2,26,1,16,317
0,14,2,12,0,0,58,4,1,1,21,1,11,537
1,15,16,8,0,0,53,10,5,1,56,8,18,104
1,16,9,16,0,0,50,16,2,1,19,10,18,522
0,17,17,9,0,0,25,3,5,2,100,4,10,514
0,18,15,9,0,0,30,1,1,2,5,9,11,612
0,19,20,1,0,0,35,4,5,2,3,3,15,826
0,20,19,3,0,0,28,2,3,1,89,9,17,819
1,21,4,11,0,0,25,9,4,2,67,4,20,591
1,22,2,12,0,0,53,10,1,1,22,4,15,99
0,23,9,4,0,0,21,3,1,1,76,10,11,941
1,24,12,13,0,0,45,19,4,2,98,12,11,879
1,25,13,9,0,0,26,10,2,1,83,10,20,917
1,26,14,2,0,0,23,19,4,2,98,8,20,984
0,27,6,13,0,0,49,5,3,2,38,6,16,873
0,28,19,13,0,0,31,4,3,1,77,10,16,752
1,29,16,3,0,0,60,14,2,2,78,6,15,584
1,30,17,2,0,0,22,14,2,2,34,12,13,308
1,31,4,5,0,0,52,8,3,1,15,11,11,660
0,32,15,18,0,0,45,15,2,1,9,1,14,353
1,33,15,6,0,0,60,9,2,2,40,4,12,869
1,34,14,7,0,0,25,12,2,1,37,2,18,665
1,35,8,13,0,0,56,11,3,1,74,11,13,794
0,36,4,18,0,0,57,8,2,1,96,6,14,258
1,37,5,10,0,0,59,16,3,1,18,11,14,646
1,38,9,11,0,0,44,13,5,1,38,4,15,551
0,39,14,19,0,0,48,15,5,2,55,3,17,873
1,40,16,15,0,0,48,13,4,2,19,3,15,109
0,41,18,10,0,0,39,2,2,1,7,2,16,926
0,42,8,1,0,0,46,5,2,2,61,5,15,109
0,43,18,18,0,0,50,6,1,1,7,4,18,203
0,44,10,19,0,0,51,16,5,2,73,4,11,867
1,45,2,3,0,0,28,18,1,2,75,3,17,775
1,46,7,1,0,0,24,10,5,2,8,5,11,229
0,47,14,12,0,0,50,5,2,1,73,5,11,985
0,48,14,19,0,0,59,6,3,1,92,6,11,645
0,49,3,18,0,0,56,11,5,1,70,8,10,325
0,50,4,20,0,0,25,11,2,2,82,4,13,300
1,51,6,5,0,0,41,7,4,1,96,4,17,649
0,52,8,17,0,0,37,4,3,2,11,6,13,812
0,53,3,5,0,0,28,3,3,1,33,3,16,642
1,54,14,2,0,0,20,16,2,1,51,2,11,609
0,55,16,18,0,0,41,11,2,2,20,4,14,877
1,56,10,15,0,0,41,17,3,2,48,3,10,446
1,57,7,14,0,0,58,8,5,1,30,4,10,513
0,58,8,8,0,0,28,5,1,1,90,11,20,811
1,59,3,10,0,0,27,17,1,2,17,4,14,297
1,60,11,10,0,0,44,6,1,2,43,5,18,925
0,61,7,16,0,0,34,3,2,2,8,2,11,862
1,62,7,10,0,0,59,18,4,2,10,12,20,937
0,63,5,17,0,0,21,5,3,2,34,7,10,201
0,64,7,17,0,0,35,8,3,1,37,10,12,963
1,65,15,3,0,0,31,14,4,1,63,6,15,3
0,66,1,7,0,0,27,1,3,1,20,2,14,288
0,67,19,10,0,0,29,17,4,1,29,5,13,448
0,68,7,3,0,0,38,1,3,1,29,11,19,946
0,69,3,20,0,0,57,7,5,2,60,2,20,865
0,70,8,2,0,0,47,3,4,1,100,8,18,777
0,71,19,11,0,0,32,20,4,1,27,8,15,718
1,72,7,4,0,0,31,11,3,1,35,12,14,900
1,73,1,14,0,0,23,15,5,1,95,11,15,879
0,74,20,9,0,0,49,5,2,2,21,12,10,109
1,75,13,9,0,0,48,7,4,2,27,8,15,315
